time,yvalues
1,150
2,141.7107474
3,131.1804903
4,132.9331617
5,143.9398858
6,139.936763
7,153.3138413
8,163.5811759
9,164.4091247
10,143.3228187
11,148.8974668
12,152.746441
13,158.7359505
14,159.3963537
15,170.4161058
16,174.3183622
17,171.2945573
18,178.598919
19,182.8438414
20,197.6074718
21,196.9288683
22,210.1046009
23,216.8045932
24,202.6253845
25,188.4076162
26,187.2396432
27,172.0538021
28,170.2329663
29,164.0838913
30,167.0965635
31,163.2173261
32,157.8106589
33,152.0986679
34,131.3299089
35,136.0622885
36,137.8942783
37,145.2445496
38,143.5964372
39,142.9423588
40,139.5561949
41,141.7709455
42,140.0994842
43,133.1011257
44,133.098765
45,146.4817804
46,168.0633316
47,147.5207813
48,160.3537298
49,161.2275183
50,165.4144163
51,166.556178
52,161.2919314
53,171.3389207
54,174.7191242
55,178.2595718
56,176.3742321
57,169.9838574
58,152.6797367
59,176.9362252
60,173.270981
61,179.1268726
62,193.4370448
63,179.9574157
64,156.410626
65,171.725121
66,168.8021876
67,174.4904405
68,167.6048142
69,167.1236859
70,162.6667551
71,158.2999791
72,149.4671835
73,152.289744
74,158.1908494
75,156.3206595
76,165.5782145
77,163.8932137
78,159.8516593
79,144.2223628
80,151.6180781
81,148.9890921
82,140.4415418
83,151.4715141
84,166.5152037
85,162.8046313
86,171.0695849
87,169.2905184
88,171.6826557
89,159.1868325
90,158.7072252
91,162.6861397
92,153.7729937
93,142.7900143
94,138.7496981
95,133.7690524
96,136.6874972
97,139.9445135
98,148.8862672
99,155.8854548
100,156.6744199
101,154.3759304
102,140.7374213
103,130.2890423
104,124.2414717
105,120.3140428
106,123.9483306
107,130.633318
108,132.286583
109,127.9353481
110,141.5203053
111,129.0623724
112,124.4249203
113,113.8370329
114,131.9642043
115,127.947136
116,121.6951281
117,124.8255082
118,136.1120029
119,158.5454567
120,151.3601616
121,147.2896252
122,153.4493161
123,162.8168711
124,142.7032783
125,139.630682
126,149.4349827
127,154.4054463
128,150.3078394
129,158.4088602
130,157.3106954
131,167.2835144
132,180.5492225
133,170.6108998
134,176.3690732
135,180.6017743
136,186.305858
137,189.1991116
138,184.652778
139,187.0390052
140,169.6085181
141,162.5357806
142,162.1171247
143,156.7921632
144,154.8264986
145,136.0593277
146,144.2989545
147,146.4168616
148,148.7690293
149,152.1729456
150,153.5420729
151,154.9241437
152,144.9742032
153,151.6276429
154,146.2354857
155,145.3240414
156,151.8175758
157,143.2388891
158,144.8953724
159,133.5286714
160,133.1986525
161,121.3951548
162,105.2316562
163,125.1157237
164,129.2035835
165,121.6564741
166,119.956081
167,116.114303
168,124.2730955
169,112.2080037
170,113.1879558
171,114.6541485
172,125.4937063
173,124.4120686
174,119.2358184
175,125.9228851
176,114.5710316
177,112.0626249
178,120.2477235
179,134.5343273
180,136.9865971
181,132.9096089
182,130.9244972
183,136.605425
184,126.6691258
185,153.0012391
186,144.6106708
187,156.3364826
188,169.6332982
189,150.7364021
190,126.5260354
191,126.0371657
192,113.3210233
193,110.0865372
194,116.5612075
195,88.76823412
196,80.08347215
197,81.0299797
198,94.12982956
199,92.53524063
200,84.20612657
201,71.16257813
202,109.9390125
203,108.9455847
204,107.5724927
205,108.8706442
206,95.07721534
207,94.55585034
208,92.60250375
209,101.6853521
210,104.5319534
211,106.3886958
212,114.7859225
213,106.8231749
214,105.5658485
215,122.4916382
216,130.4744599
217,144.7416259
218,151.4640975
219,156.0079557
220,158.4893092
221,167.4887594
222,167.2064042
223,171.88159
224,156.6832543
225,138.5174745
226,136.4126464
227,129.809537
228,110.6324815
229,107.3718232
230,126.6231897
231,139.7264093
232,116.5213996
233,115.1131166
234,125.5203195
235,116.0946623
236,125.2712851
237,136.3543214
238,123.4866888
239,110.6015239
240,114.9761158
241,112.7270563
242,109.0831979
243,109.6657427
244,117.3382813
245,126.3001806
246,128.1279544
247,127.8149321
248,131.3471076
249,119.4749868
250,131.6002101
251,125.5568999
252,130.8671394
253,129.8449341
254,153.6904251
255,161.3303436
256,155.6374599
257,156.2746418
258,146.1623383
259,132.038639
260,134.6255883
261,123.6261786
262,116.8413043
263,101.4119072
264,89.45731304
265,92.04475029
266,104.9686011
267,113.3870438
268,109.0316357
269,115.9293395
270,119.1326769
271,131.5690828
272,120.0172701
273,117.1656237
274,97.76365952
275,102.9974539
276,123.2359576
277,127.1984326
278,135.3630022
279,138.7691082
280,137.0224409
281,136.8458531
282,124.1357787
283,105.6633019
284,106.517978
285,98.70951013
286,105.6579091
287,108.5537459
288,104.3762926
289,110.6935502
290,99.11867044
291,99.48808981
292,96.34439854
293,95.15352321
294,98.39823052
295,77.94404142
296,85.66071544
297,82.75717337
298,95.5448028
299,80.074275
300,78.19124561
301,73.73509326
302,66.93656601
303,75.06271735
304,86.37197593
305,98.26409919
306,104.5080472
307,99.55728365
308,93.56711757
309,95.14882149
310,115.4157396
311,113.6492109
312,112.3367585
313,115.2233351
314,118.1519105
315,109.8407336
316,111.2342232
317,108.351339
318,107.8855754
319,112.0990075
320,113.8934264
321,127.2317179
322,118.6773495
323,133.1958483
324,130.9161509
325,128.9362671
326,109.6232321
327,102.9700304
328,118.9571704
329,118.4602254
330,134.7556816
331,141.3588714
332,134.2077139
333,129.7817541
334,124.9326741
335,116.0341127
336,108.6709357
