u_priorForDifference,sizeofdiff,sample_Mean1,sample_Mean2,std_dev,sample_size,p0,p1,post_mu2_gt_m1,pvalue,H
0.046469266526401,4.75836221867554,777.948901733108,782.707263951784,237.669439910624,25000,0.594,0.406,0.999,0.0126952823595866,0.974352344529251
0.779521286953241,151.195412822595,2282.18082160365,2433.37623442625,155.400772580136,10000,0,1,1,0,0
0.131541300565004,14.1035248334987,1408.0893762433,1422.1929010768,121.10055421586,10000,0,1,1,2.32942459303673e-12,0
0.351485596038401,43.3071064274772,-149.113957668117,-105.80685124064,53.0995323455074,10000,0,1,1,0,0
0.101142882369459,10.6631191924478,-604.22841724327,-614.891536435718,4.44440545905268,10000,0,1,0,0,0
0.622072396799922,97.3052627631701,-486.413371977765,-389.108109214595,314.944004860111,25000,0,1,1,1.88206315217871e-273,0
0.558806211687624,81.8271070776299,-1232.09462797916,-1313.92173505679,7.31857891188629,25000,0,1,0,0,0
-0.189910405315459,0,100.831090692038,100.831090692038,142.128816023707,10000,0.975,0.025,0.991,0.834590039163235,0.16866093149667
0.74585082847625,136.983389488698,1986.68394818803,2123.66733767673,159.754125562557,10000,0,1,1,0,0
-0.371213898994029,0,909.231492247371,909.231492247371,86.5086814542622,25000,0.986,0.014,0.999,0.948393866701566,0.10627369308466
-0.797838606406003,0,1008.92283511631,1008.92283511631,78.0400730741966,25000,0.988,0.012,0.992,0.358960834733294,0.0937779098477717
0.0310960807837546,3.15898265831089,815.454903544015,818.613886202326,123.421536831351,10000,0.917,0.083,0.996,0.0881230444091086,0.412662655923627
-0.301030056085438,0,991.940230460093,991.940230460093,107.632083666353,25000,0.978,0.022,0.982,0.356477153439035,0.152527328508782
0.23042236501351,26.1913440621397,1152.15215276854,1125.9608087064,40.560507693269,25000,0,1,0,0,0
-0.555957571137697,0,152.556326331482,152.556326331482,384.032238709214,10000,0.914,0.086,0.982,0.36024735834641,0.422975491234631
-0.487730928696692,0,-231.443927929314,-231.443927929314,146.407049114031,10000,0.968,0.032,0.981,0.823664327121945,0.20432467098028
0.342225643340498,41.8893329478236,916.076478867213,957.965811815036,375.268228800826,10000,0,1,1,2.78899401130264e-16,0
-0.497505506500602,0,-892.995425914572,-892.995425914572,137.351964614866,10000,0.967,0.033,0.981,0.763338341519406,0.209220477869153
0.375817119143903,47.1311875256737,-1788.78636721268,-1741.65517968701,223.723374841102,25000,0,1,1,4.71941215331838e-130,0
0.858229407574981,195.354507408572,62.2856841120849,257.640191520657,206.721215890096,25000,0,1,1,0,0
0.303398360963911,36.1541568144464,-595.629433885081,-631.783590699528,38.0608724796212,10000,0,1,0,0,0
0.606463094241917,93.2580427064898,-123.290173467178,-30.0321307606886,96.5003623088162,10000,0,1,1,0,0
0.237716380972415,27.1436589097737,-830.732777258402,-857.876436168176,22.0644890838489,25000,0,1,0,0,0
0.321094050072134,38.7272673641845,-285.828332780912,-324.555600145096,322.342235354875,25000,0,1,0,1.33597079101261e-36,0
