p0,p1,post_mu2_gt_m1,H,pvalue1
0.568,0.432,0.611,0.683870459027067,0.144
0.01,0.99,0.01,0.0560015343548473,3.581e-05
0,1,1,0,1.497e-17
0,1,1,0,3.924e-19
0,1,1,0,7.49e-11
0,1,0,0,5.64e-20
0.37,0.63,0.975,0.658955680683063,0.0417
0,1,0,0,1.227e-08
0,1,0,0,8.502e-07
0.675,0.325,0.777,0.630581028386015,0.593
0.659,0.341,0.88,0.641696544991305,0.582
0.678,0.322,0.729,0.628367820093249,0.262
0.01,0.99,0.999,0.0560015343548473,0.0001646
0,1,0,0,1.618e-26
0,1,1,0,5.962e-08
0,1,1,0,8.406e-16
0,1,1,0,1.065e-06
0.141,0.859,0.983,0.40677463045434,0.00648
0,1,1,0,2.589e-10
0,1,0,0,6.218e-27
0,1,0,0,6.598e-21
0,1,1,0,9.776e-11
0.608,0.392,0.689,0.669634309548846,0.365
0,1,1,0,7.203e-09
0,1,1,0,1.916e-13
0,1,1,0,9.457e-08
0.685,0.315,0.742,0.623042993542438,0.407
0,1,0,0,2.236e-18
0,1,1,0,2.481e-27
0.03,0.97,0.999,0.134742168179767,0.00147
0.662,0.338,0.721,0.639699968278577,0.322
0.765,0.235,0.92,0.54524767028096,0.707
0.074,0.926,0.076,0.263864920802666,0.00238
0.478,0.522,0.512,0.692178867976484,0.0866
0,1,0,0,1.529e-05
0.525,0.475,0.958,0.69189665920508,0.103
0.073,0.927,0.077,0.261330784498757,0.0051
0.018,0.982,0.018,0.0901499225359206,0.0005711
0,1,1,0,2.409e-32
0,1,0,0,3.619e-07
0.096,0.904,0.106,0.316204110806697,0.00168
0,1,0,0,6.451e-11
0,1,1,0,6.23e-09
0.753,0.247,0.853,0.559015243301707,0.776
0.039,0.961,0.042,0.16475296776263,0.00137
0,1,1,0,3.408e-30
0.085,0.915,0.088,0.290814402453358,0.00366
0,1,1,0,1.205e-58
0.743,0.257,0.855,0.56989556393877,0.964
0.516,0.484,0.973,0.692635093142801,0.0775
0,1,0,0,2.446e-26
0,1,1,0,5.238e-16
0,1,0,0,2.739e-29
0,1,0,0,4.493e-45
0.692,0.308,0.794,0.617491064538849,0.56
0,1,0,0,5.733e-06
0,1,1,0,6.146e-16
0,1,0,0,0.0001407
0.063,0.937,0.999,0.235143555762069,0.0025
0.45,0.55,0.476,0.688138813713588,0.0609
0,1,0,0,1.294e-09
0,1,1,0,4.187e-06
0,1,1,0,3.961e-25
0.054,0.946,0.996,0.210128670144589,0.00286
0,1,1,0,2.775e-09
0.701,0.299,0.91,0.610014621727074,0.451
0.002,0.998,1,0.0144272148621761,7.25e-05
0,1,1,0,1.24e-08
0,1,1,0,3.235e-11
0.441,0.559,0.954,0.686168933416378,0.0882
0.016,0.984,0.999,0.0820339767268832,0.0006329
0.594,0.406,0.645,0.675369580482422,0.207
0.004,0.996,0.005,0.0260778329833977,2.575e-05
0,1,1,0,1.141e-15
0,1,1,0,1.625e-07
0.269,0.731,0.98,0.582261678792154,0.0245
0.768,0.232,0.872,0.541681693698141,0.755
0,1,1,0,4.083e-17
0.562,0.438,0.613,0.685439356596999,0.161
0,1,1,0,3.714e-11
0,1,0,0,4.258e-13
0,1,0,0,1.956e-10
0.779,0.221,0.856,0.528170717213401,0.822
0,1,0,0,3.595e-39
0,1,0,0,1.704e-41
0.728,0.272,0.784,0.585237953862438,0.453
0.126,0.874,0.991,0.378711510383313,0.00333
0.526,0.474,0.939,0.691794570598635,0.208
0,1,1,0,3.346e-06
0.58,0.42,0.611,0.680292000192154,0.129
0,1,0,0,1.252e-09
0,1,0,0,2.275e-11
0,1,1,0,1.671e-07
0.697,0.303,0.831,0.613384807612713,0.897
0,1,1,0,1.081e-06
0.73,0.27,0.923,0.583258840128597,0.515
0.018,0.982,0.998,0.0901499225359206,0.0011
0,1,1,0,3.128e-34
0,1,0,0,8.795e-20
0.013,0.987,0.015,0.0693716084142908,0.00106
0,1,0,0,4.902e-15
0.058,0.942,0.995,0.221428615719511,0.00177
